district_id,illiterate,only_literate,below_primary,primary,middle,secondary,intermediate,non_tech_diploma,tech_diploma,graduate,unknown
123,537458,18697,151465,202193,119187,60594,32145,46,2015,30960,1837
124,706961,32623,172669,209886,126944,62026,36862,56,3157,33715,3653
125,968142,46735,221594,233941,158923,71071,43027,35,3896,43459,6662
126,722513,45200,194081,248220,148268,77664,45853,86,5500,54115,2838
127,652669,35364,218600,330621,247469,178913,114856,259,11181,156523,4559
128,529448,33059,158654,219101,132964,67306,37046,55,2786,39736,2600
129,671337,25371,193881,238236,135708,64876,37381,64,2425,39769,2081
130,1485791,102383,365434,432988,267295,157780,95244,378,6429,142599,12099
131,466333,14102,111208,131779,74346,32400,17731,32,1302,15987,2628
587,11920,2729,9410,12813,11305,5775,7178,112,853,2302,76
602,936383,143283,232946,515319,493766,510607,378476,12260,95438,396122,13504
603,870456,188247,261675,577317,578833,616861,560668,14286,82331,879695,16363
604,984870,170150,255250,559499,526254,492037,419501,11643,94619,472967,11462
605,1162403,122425,280038,666180,563817,475772,350254,8399,82420,214455,10168
606,838062,65511,182318,431780,323898,279584,192424,4064,43714,96046,7474
607,1263097,117636,267556,562183,426484,372554,239820,4400,59931,133495,11717
608,1196494,105469,279054,585832,410771,365759,256764,5830,63289,205792,7002
609,550470,55633,140300,291709,195046,183092,160294,3286,28690,114472,3609
610,759082,64174,184252,384688,251774,214204,190504,4092,39683,153364,5927
611,165747,32054,62584,122754,99408,106231,83243,1381,12190,48552,1250
612,677941,65423,180069,403425,303467,213640,159405,3088,39470,107738,6109
613,337449,27936,90852,194973,136482,109234,86514,1212,16930,60946,1965
614,683309,69955,211429,450413,390832,307791,281167,6322,78340,237599,5133
615,189400,8874,50453,95637,73927,60461,44993,583,11421,27771,1703
616,274290,11693,63300,128672,94708,73387,51579,1220,20862,33158,2025
617,790633,78879,183667,425816,343194,313005,213372,3980,74063,169933,9372
618,403442,50885,131077,324918,268606,176837,133275,1733,39135,83563,2979
619,317806,24267,90958,248519,210354,155204,114296,1271,30342,68783,2477
620,614892,100990,184075,432760,360411,281696,205986,2219,51401,167537,3923
621,507800,43127,141379,292636,227875,183097,117840,1546,30116,69486,3443
622,379357,45657,102347,237258,202163,144895,115423,1463,31352,76308,2878
623,764822,95966,237740,542134,424840,334925,285404,4791,66638,273498,7494
624,375819,32598,109157,221512,178182,129500,98969,1723,27286,68056,3097
625,543500,55051,195547,408259,244492,175375,150809,4708,49046,111441,4060
626,374499,48749,116499,273136,193633,149744,103670,2081,25231,62092,4111
627,400479,46605,172559,388882,268654,170436,140264,4070,43472,111111,3644
628,803776,85490,291119,645275,451971,288442,244267,7480,75390,177954,6069
629,321636,62329,181996,333437,235456,237249,249100,9234,69776,165776,4385
630,589134,30926,119841,246294,174415,148554,100663,2290,23910,67131,3685
631,691851,46629,148610,299188,215492,221729,132704,3822,32121,83297,4366
632,822138,93972,262691,564533,428290,433800,365268,11926,87765,378947,8715
633,718486,109900,218041,470224,310509,267522,202434,3683,32154,140657,5442
468,840052,43149,319994,377311,180970,142160,86501,975,17426,78635,5198
469,1415583,44274,532731,562031,214598,167950,97621,1125,20937,56310,7346
470,505821,36963,244258,243041,106180,100656,51129,797,15636,36052,3201
