district_id,population,males,females,literates,literate_males,literate_females,working,working_males,working_females,non_working,non_working_males,non_working_females
289,1725739,879428,846311,1361354,722998,638356,698178,500406,197772,1027561,379022,648539
290,876001,447544,428457,646810,351082,295728,366845,253229,113616,509156,194315,314841
291,378230,194544,183686,276217,151643,124574,155831,105657,50174,222399,88887,133512
292,693947,352860,341087,520402,275646,244756,248667,186034,62633,445280,166826,278454
293,643291,324159,319132,358702,193438,165264,255693,151914,103779,387598,172245,215353
294,317917,161223,156694,192147,102513,89634,126073,72262,53811,191844,88961,102883
295,142334,73170,69164,82062,45003,37059,53069,32826,20243,89265,40344,48921
296,383461,193715,189746,230678,117307,113371,163345,89694,73651,220116,104021,116095
297,258840,132531,126309,155859,80977,74882,106473,63871,42602,152367,68660,83707
298,825922,410749,415173,578030,287270,290760,326786,204303,122483,499136,206446,292690
299,395124,196285,198839,187527,87371,100156,154180,88839,65341,240944,107446,133498
300,887142,452905,434237,489305,275220,214085,341131,236322,104809,546011,216583,329428
301,1949258,997848,951410,922341,511551,410790,669819,524898,144921,1279439,472950,806489
302,1008183,513292,494891,563577,304302,259275,362573,267118,95455,645610,246174,399436
303,1693622,867004,826618,897058,499038,398020,561824,445297,116527,1131798,421707,710091
304,957423,486651,470772,539902,289698,250204,351148,257984,93164,606275,228667,377608
305,2823768,1439112,1384656,1710716,921850,788866,979998,766728,213270,1843770,672384,1171386
306,1924110,983904,940206,1108572,620525,488047,770606,537195,233411,1153504,446709,706795
307,1042137,529674,512463,683486,375552,307934,429995,282250,147745,612142,247424,364718
308,686133,351249,334884,423028,237761,185267,316800,186577,130223,369333,164672,204661
309,1327929,680231,647698,798322,453449,344873,557196,366623,190573,770733,313608,457125
310,1326335,676434,649901,884531,491361,393170,560557,368013,192544,765778,308421,457357
311,1151050,589216,561834,813505,444767,368738,485717,325071,160646,665333,264145,401188
312,1092256,556805,535451,794929,432335,362594,498618,320746,177872,593638,236059,357579
313,1066888,543161,523727,721764,396475,325289,479928,309104,170824,586960,234057,352903
314,956313,490167,466146,557214,314253,242961,383441,246193,137248,572872,243974,328898
315,214102,110802,103300,140873,78559,62314,85028,56323,28705,129074,54479,74595
316,1736617,886284,850333,1174128,639946,534182,608062,469752,138310,1128555,416532,712023
317,1228686,625864,602822,795297,435942,359355,399171,319798,79373,829515,306066,523449
318,659296,337890,321406,407366,226836,180530,214240,170792,43448,445056,167098,277958
319,738804,375818,362986,434078,237114,196964,255806,197542,58264,482998,178276,304722
320,482162,244860,237302,259902,145869,114033,193894,128762,65132,288268,116098,172170
321,1517542,778461,739081,995319,550219,445100,628954,428492,200462,888588,349969,538619
322,1253938,647585,606353,1001191,537227,463964,490932,375613,115319,763006,271972,491034
323,771639,396006,375633,531771,293184,238587,267623,210202,57421,504016,185804,318212
324,950075,481330,468745,572837,322614,250223,406756,266611,140145,543319,214719,328600
325,928500,475273,453227,487039,268666,218373,324843,246864,77979,603657,228409,375248
326,831668,421617,410051,469926,264326,205600,345030,230690,114340,486638,190927,295711
327,1846823,937259,909564,1315585,717673,597912,683726,479586,204140,1163097,457673,705424
328,3872846,1983064,1889782,2498780,1396622,1102158,1512910,1091361,421549,2359936,891703,1468233
329,2819086,1451542,1367544,1850504,1028733,821771,1127977,845308,282669,1691109,606234,1084875
330,3007134,1551066,1456068,1489667,853495,636172,1075626,799627,275999,1931508,751439,1180069
331,1676276,857199,819077,1083685,596474,487211,702987,499560,203427,973289,357639,615650
332,3988845,2051541,1937304,2086432,1152019,934413,1537847,1086461,451386,2450998,965080,1485918
333,7103807,3627564,3476243,4055834,2177187,1878647,2589907,1985667,604240,4513900,1641897,2872003
334,3502404,1790920,1711484,2158447,1201481,956966,1331603,1029770,301833,2170801,761150,1409651
335,7717563,3966889,3750674,5247208,2918040,2329168,2911251,2293083,618168,4806312,1673806,3132506
